lista;Gruppo;ID frase;ID_Condizione;Cond;Bias di genere;Parola target;Corretto;rt_determinante;rt_nome;rt_verbo1;rt_pronome;rt_verbo2;q_words;Accordo v-v;Accordo sostantivo-sostantivo;Frase completa;RT_word_0;RT_word_1;RT_word_2;RT_word_3;RT_word_4;RT_word_5;RT_word_6;RT_word_7;RT_word_8;RT_word_9;RT_word_10;RT_word_11;RT_word_12;RT_word_13;RT_word_14;part;ID;eta;id_genero;nazionalita;residenza;lingua;educazione;occhiali;mail;tiempo_total
B;DG;103;gender55;g_masc;masc;idraulico;yes;2178.0;764.0;875.0;1059.0;1429.0;13.0;si;si;"Gli idraulici riparano la principale tubatura rotta; tutti ripristinano l' acqua corrente nell' intero edificio.";2178.0;764.0;875.0;896.0;1377.0;1300.0;2272.0;1059.0;1429.0;1256.0;842.0;904.0;855.0;867.0;869.0;1;1;33;F;Italia;xxx;italiano;laureata in beni culturali;Si;xxx;796088
B;DG;50;gender2;g_fem;fem;infermiere;yes;832.0;1578.0;1130.0;808.0;1083.0;14.0;si;si;"Le infermiere controllano i turni di guardia del giorno; tutte trovano degli errori madornali.";832.0;1578.0;1130.0;1057.0;926.0;1095.0;768.0;885.0;1200.0;808.0;1083.0;1016.0;2037.0;1370.0;;1;1;33;F;Italia;xxx;italiano;laureata in beni culturali;Si;xxx;796088
B;DG;53;gender5;g_masc;fem;bibliotecario;no;788.0;866.0;926.0;924.0;911.0;14.0;si;si;"I bibliotecari organizzano alfabeticamente i nuovi libri; tutti eseguono il lavoro in modo rigoroso.";788.0;866.0;926.0;2931.0;781.0;904.0;2275.0;924.0;911.0;755.0;776.0;1858.0;660.0;995.0;;1;1;33;F;Italia;xxx;italiano;laureata in beni culturali;Si;xxx;796088
B;DG;55;gender7;g_masc;fem;segretario;yes;728.0;1640.0;1192.0;1029.0;1377.0;13.0;no;no;"I segretari ricevono la documentazione ufficiale; tutti raccolgono le firme in ogni dipartimento.";728.0;1640.0;1192.0;828.0;1169.0;955.0;1029.0;1377.0;725.0;858.0;907.0;1524.0;2237.0;;;1;1;33;F;Italia;xxx;italiano;laureata in beni culturali;Si;xxx;796088
B;DG;60;gender12;g_fem;fem;psicologo;yes;664.0;1099.0;1648.0;1444.0;931.0;13.0;no;no;"Le psicologhe organizzano una seduta collettiva; tutte offrono consulenza gratuita negli ambulatori pubblici.";664.0;1099.0;1648.0;846.0;1236.0;1384.0;1444.0;931.0;1187.0;1039.0;2938.0;949.0;1446.0;;;1;1;33;F;Italia;xxx;italiano;laureata in beni culturali;Si;xxx;796088
B;DG;76;gender28;g_fem;fem;logopedista;yes;684.0;1561.0;869.0;1064.0;1194.0;13.0;no;no;"Le ginecologhe visitano le pazienti con le infermiere; tutte controllano la crescita fetale.";684.0;1561.0;869.0;1181.0;759.0;1154.0;842.0;1727.0;1064.0;1194.0;778.0;1566.0;1304.0;;;1;1;33;F;Italia;xxx;italiano;laureata in beni culturali;Si;xxx;796088
B;DG;77;gender29;g_masc;masc;camionista;no;715.0;797.0;1083.0;969.0;1039.0;15.0;si;si;"I giardinieri curano il parco pubblico; tutti potano gli alberi malati alla fine dell' inverno.";715.0;797.0;1083.0;891.0;635.0;1230.0;969.0;1039.0;1015.0;718.0;1005.0;1118.0;3395.0;859.0;1494.0;1;1;33;F;Italia;xxx;italiano;laureata in beni culturali;Si;xxx;796088
B;DG;80;gender32;g_fem;masc;fabbro;yes;781.0;3301.0;1302.0;1285.0;1547.0;14.0;no;no;"Le fabbre saldano la nuova rete metallica; tutte eseguono un lavoro di squadra eccellente.";781.0;3301.0;1302.0;1916.0;1616.0;1378.0;1137.0;1285.0;1547.0;1173.0;1271.0;1155.0;1093.0;1125.0;;1;1;33;F;Italia;xxx;italiano;laureata in beni culturali;Si;xxx;796088
B;DG;86;gender38;g_fem;masc;pompiere;no;571.0;754.0;1456.0;816.0;708.0;14.0;si;si;"Le becchine preparano la salma per la sepoltura; tutte aspettano in un rigoroso silenzio.";571.0;754.0;1456.0;1148.0;1501.0;717.0;589.0;897.0;816.0;708.0;1502.0;1514.0;1782.0;1046.0;;1;1;33;F;Italia;xxx;italiano;laureata in beni culturali;Si;xxx;796088
B;DG;87;gender39;g_masc;masc;meccanico;yes;941.0;2086.0;1564.0;1804.0;1269.0;13.0;no;no;"I meccanici riparano il motore dell' automobile; tutti offrono un servizio eccellente al cliente.";941.0;2086.0;1564.0;1228.0;1412.0;1554.0;1076.0;1804.0;1269.0;2182.0;1357.0;1185.0;3142.0;1064.0;;1;1;33;F;Italia;xxx;italiano;laureata in beni culturali;Si;xxx;796088
B;DG;92;gender44;g_fem;masc;marinaio;yes;815.0;2440.0;778.0;1346.0;1149.0;13.0;no;no;"Le marinaie ricevono le indicazioni dal porto; tutte manovrano con destrezza la nave.";815.0;2440.0;778.0;772.0;1393.0;778.0;1596.0;1346.0;1149.0;874.0;1376.0;770.0;1174.0;;;1;1;33;F;Italia;xxx;italiano;laureata in beni culturali;Si;xxx;796088
D;DG;105;gender57;g_masc;masc;ministro;no;2709.0;939.0;1260.0;1100.0;3841.0;15.0;si;si;"I ministri partecipano alla riunione di gabinetto; tutti attendevano impazientemente dei dettagli sul piano economico.";2709.0;939.0;1260.0;556.0;674.0;885.0;751.0;1100.0;3841.0;769.0;968.0;1815.0;574.0;579.0;879.0;2;2;26;F;italia ;xxx;italiano;Laurea Triennale;Si;xxx;794971
D;DG;108;gender60;g_fem;masc;deputato;no;520.0;918.0;719.0;2362.0;1147.0;14.0;no;no;"Le deputate presentano un nuovo decreto sui trasporti; tutte sperano in una approvazione unanime.";520.0;918.0;719.0;922.0;951.0;619.0;734.0;1001.0;2362.0;1147.0;1266.0;1178.0;752.0;682.0;;2;2;26;F;italia ;xxx;italiano;Laurea Triennale;Si;xxx;794971
D;DG;52;gender4;g_fem;fem;astrologo;yes;514.0;1380.0;1491.0;590.0;983.0;14.0;si;si;"Le astrologhe analizzano le carte astrali; tutte formulano la loro predizione per l' anno futuro.";514.0;1380.0;1491.0;612.0;682.0;962.0;590.0;983.0;468.0;692.0;804.0;1109.0;473.0;1046.0;772.0;2;2;26;F;italia ;xxx;italiano;Laurea Triennale;Si;xxx;794971
D;DG;57;gender9;g_masc;fem;ostetrico;yes;442.0;1038.0;1817.0;1087.0;962.0;13.0;no;no;"Gli ostetrici assistono molte partorienti in ospedale; tutti supportano le madri in travaglio.";442.0;1038.0;1817.0;1498.0;1430.0;1147.0;603.0;1087.0;962.0;744.0;1005.0;469.0;1113.0;;;2;2;26;F;italia ;xxx;italiano;Laurea Triennale;Si;xxx;794971
D;DG;61;gender13;g_masc;fem;maestro;no;714.0;1197.0;1521.0;1269.0;736.0;14.0;si;si;"I maestri comprano dei quaderni a quadretti; tutti preparano il necessario per le lezioni.";714.0;1197.0;1521.0;1619.0;849.0;956.0;1095.0;1269.0;736.0;742.0;1169.0;516.0;813.0;652.0;;2;2;26;F;italia ;xxx;italiano;Laurea Triennale;Si;xxx;794971
D;DG;64;gender16;g_fem;fem;pedagogista;yes;633.0;1424.0;1326.0;960.0;1138.0;13.0;no;no;"Le portinaie svolgono solertemente il loro lavoro; tutte puliscono con attenzione le scale.";633.0;1424.0;1326.0;1445.0;878.0;515.0;504.0;960.0;1138.0;786.0;667.0;549.0;743.0;;;2;2;26;F;italia ;xxx;italiano;Laurea Triennale;Si;xxx;794971
D;DG;68;gender20;g_fem;fem;dermatologo;no;800.0;938.0;1210.0;614.0;1066.0;13.0;si;si;"Le parrucchiere acconciano i lunghi capelli della cliente; tutte utilizzano costosi prodotti biologici.";800.0;938.0;1210.0;809.0;3777.0;1635.0;699.0;1089.0;614.0;1066.0;973.0;872.0;826.0;;;2;2;26;F;italia ;xxx;italiano;Laurea Triennale;Si;xxx;794971
D;DG;81;gender33;g_masc;masc;falegname;no;1181.0;1206.0;823.0;1287.0;1322.0;13.0;si;si;"Gli architetti progettano strutture innovative per le aziende; tutti rispettano le norme ambientali.";1181.0;1206.0;823.0;1751.0;1601.0;666.0;1309.0;892.0;1287.0;1322.0;679.0;453.0;458.0;;;2;2;26;F;italia ;xxx;italiano;Laurea Triennale;Si;xxx;794971
D;DG;84;gender36;g_fem;masc;ingegnere;yes;651.0;1190.0;1661.0;878.0;2362.0;13.0;no;no;"Le ingegnere predispongono il progetto del tunnel; tutte considerano la resistenza del terreno.";651.0;1190.0;1661.0;629.0;1113.0;1584.0;1052.0;878.0;2362.0;729.0;790.0;1483.0;662.0;;;2;2;26;F;italia ;xxx;italiano;Laurea Triennale;Si;xxx;794971
D;DG;89;gender41;g_masc;masc;minatore;no;1271.0;6231.0;1962.0;1350.0;1445.0;14.0;no;no;"I minatori lavorano in condizioni pericolose; tutti chiedono migliori condizioni di lavoro nella miniera.";1271.0;6231.0;1962.0;798.0;1344.0;1399.0;1350.0;1445.0;1463.0;708.0;449.0;573.0;1183.0;1114.0;;2;2;26;F;italia ;xxx;italiano;Laurea Triennale;Si;xxx;794971
D;DG;96;gender48;g_fem;masc;macellaio;yes;500.0;1263.0;1213.0;1035.0;1467.0;13.0;si;si;"Le macellaie preparano tagli d' agnello fresco; tutte espongono i nuovi prezzi in vetrina.";500.0;1263.0;1213.0;1120.0;970.0;869.0;700.0;1035.0;1467.0;675.0;1258.0;830.0;465.0;569.0;;2;2;26;F;italia ;xxx;italiano;Laurea Triennale;Si;xxx;794971
B;DG;103;gender55;g_masc;masc;idraulico;no;705.0;1175.0;905.0;5225.0;2496.0;13.0;si;si;"Gli idraulici riparano la principale tubatura rotta; tutti ripristinano l' acqua corrente nell' intero edificio.";705.0;1175.0;905.0;623.0;1512.0;1536.0;1280.0;5225.0;2496.0;1433.0;1095.0;1184.0;1560.0;1224.0;1033.0;3;3;23;M;ITALIANA;xxx;ITALIANO;Laurea Magistrale;Si;xxx;778057
B;DG;50;gender2;g_fem;fem;infermiere;no;639.0;2985.0;1248.0;1313.0;1055.0;14.0;si;si;"Le infermiere controllano i turni di guardia del giorno; tutte trovano degli errori madornali.";639.0;2985.0;1248.0;944.0;1000.0;952.0;848.0;1104.0;3200.0;1313.0;1055.0;1400.0;1696.0;1984.0;;3;3;23;M;ITALIANA;xxx;ITALIANO;Laurea Magistrale;Si;xxx;778057
B;DG;53;gender5;g_masc;fem;bibliotecario;yes;802.0;4192.0;1456.0;1935.0;1024.0;14.0;si;si;"I bibliotecari organizzano alfabeticamente i nuovi libri; tutti eseguono il lavoro in modo rigoroso.";802.0;4192.0;1456.0;1481.0;1000.0;831.0;785.0;1935.0;1024.0;712.0;1496.0;912.0;832.0;944.0;;3;3;23;M;ITALIANA;xxx;ITALIANO;Laurea Magistrale;Si;xxx;778057
B;DG;55;gender7;g_masc;fem;segretario;yes;598.0;928.0;1008.0;1143.0;1016.0;13.0;no;no;"I segretari ricevono la documentazione ufficiale; tutti raccolgono le firme in ogni dipartimento.";598.0;928.0;1008.0;751.0;1577.0;1504.0;1143.0;1016.0;1097.0;1568.0;792.0;912.0;2208.0;;;3;3;23;M;ITALIANA;xxx;ITALIANO;Laurea Magistrale;Si;xxx;778057
B;DG;60;gender12;g_fem;fem;psicologo;yes;778.0;2601.0;2168.0;984.0;1112.0;13.0;no;no;"Le psicologhe organizzano una seduta collettiva; tutte offrono consulenza gratuita negli ambulatori pubblici.";778.0;2601.0;2168.0;1360.0;728.0;912.0;984.0;1112.0;1599.0;889.0;1816.0;1143.0;1025.0;;;3;3;23;M;ITALIANA;xxx;ITALIANO;Laurea Magistrale;Si;xxx;778057
B;DG;76;gender28;g_fem;fem;logopedista;yes;604.0;1712.0;1040.0;1272.0;968.0;13.0;no;no;"Le ginecologhe visitano le pazienti con le infermiere; tutte controllano la crescita fetale.";604.0;1712.0;1040.0;800.0;976.0;728.0;1249.0;2511.0;1272.0;968.0;832.0;976.0;1832.0;;;3;3;23;M;ITALIANA;xxx;ITALIANO;Laurea Magistrale;Si;xxx;778057
B;DG;77;gender29;g_masc;masc;camionista;yes;1443.0;1672.0;944.0;2400.0;929.0;15.0;si;si;"I giardinieri curano il parco pubblico; tutti potano gli alberi malati alla fine dell' inverno.";1443.0;1672.0;944.0;1056.0;825.0;783.0;2400.0;929.0;1527.0;696.0;1280.0;1736.0;2016.0;1312.0;1713.0;3;3;23;M;ITALIANA;xxx;ITALIANO;Laurea Magistrale;Si;xxx;778057
B;DG;80;gender32;g_fem;masc;fabbro;yes;548.0;1679.0;3377.0;1096.0;1048.0;14.0;no;no;"Le fabbre saldano la nuova rete metallica; tutte eseguono un lavoro di squadra eccellente.";548.0;1679.0;3377.0;776.0;1584.0;976.0;904.0;1096.0;1048.0;1144.0;1032.0;928.0;1000.0;1087.0;;3;3;23;M;ITALIANA;xxx;ITALIANO;Laurea Magistrale;Si;xxx;778057
B;DG;86;gender38;g_fem;masc;pompiere;yes;588.0;1344.0;2241.0;2200.0;1473.0;14.0;si;si;"Le becchine preparano la salma per la sepoltura; tutte aspettano in un rigoroso silenzio.";588.0;1344.0;2241.0;855.0;984.0;696.0;648.0;1088.0;2200.0;1473.0;1255.0;1808.0;904.0;800.0;;3;3;23;M;ITALIANA;xxx;ITALIANO;Laurea Magistrale;Si;xxx;778057
B;DG;87;gender39;g_masc;masc;meccanico;no;647.0;824.0;1096.0;1986.0;1374.0;13.0;no;no;"I meccanici riparano il motore dell' automobile; tutti offrono un servizio eccellente al cliente.";647.0;824.0;1096.0;904.0;792.0;752.0;712.0;1986.0;1374.0;984.0;1104.0;1080.0;1504.0;952.0;;3;3;23;M;ITALIANA;xxx;ITALIANO;Laurea Magistrale;Si;xxx;778057
B;DG;92;gender44;g_fem;masc;marinaio;no;1164.0;1454.0;1049.0;895.0;945.0;13.0;no;no;"Le marinaie ricevono le indicazioni dal porto; tutte manovrano con destrezza la nave.";1164.0;1454.0;1049.0;985.0;1207.0;1105.0;928.0;895.0;945.0;849.0;927.0;824.0;840.0;;;3;3;23;M;ITALIANA;xxx;ITALIANO;Laurea Magistrale;Si;xxx;778057
A;DG;104;gender56;g_fem;masc;idraulico;yes;436.0;1419.0;672.0;751.0;874.0;13.0;si;si;"Le idrauliche riparano la principale tubatura rotta; tutte ripristinano l' acqua corrente nell' intero edificio.";436.0;1419.0;672.0;501.0;771.0;735.0;610.0;751.0;874.0;684.0;636.0;593.0;630.0;558.0;711.0;4;4;26;F;italiana;xxx;Italiano;Laurea Magistrale;Si;xxx;477182
A;DG;49;gender1;g_masc;fem;infermiere;no;1117.0;660.0;730.0;805.0;605.0;14.0;si;si;"Gli infermieri controllano i turni di guardia del giorno; tutti trovano degli errori madornali.";1117.0;660.0;730.0;605.0;686.0;609.0;685.0;739.0;625.0;805.0;605.0;819.0;740.0;836.0;;4;4;26;F;italiana;xxx;Italiano;Laurea Magistrale;Si;xxx;477182
A;DG;54;gender6;g_fem;fem;bibliotecario;no;308.0;587.0;671.0;634.0;594.0;14.0;si;si;"Le bibliotecarie organizzano alfabeticamente i nuovi libri; tutte eseguono il lavoro in modo rigoroso.";308.0;587.0;671.0;924.0;615.0;775.0;732.0;634.0;594.0;548.0;992.0;524.0;574.0;576.0;;4;4;26;F;italiana;xxx;Italiano;Laurea Magistrale;Si;xxx;477182
A;DG;56;gender8;g_fem;fem;segretario;no;519.0;657.0;688.0;660.0;694.0;13.0;no;no;"Le segretarie ricevono la documentazione ufficiale; tutte raccolgono le firme in ogni dipartimento.";519.0;657.0;688.0;468.0;796.0;791.0;660.0;694.0;403.0;526.0;758.0;544.0;728.0;;;4;4;26;F;italiana;xxx;Italiano;Laurea Magistrale;Si;xxx;477182
A;DG;59;gender11;g_masc;fem;psicologo;no;452.0;635.0;620.0;693.0;398.0;13.0;no;no;"Gli psicologi organizzano una seduta collettiva; tutti offrono consulenza gratuita negli ambulatori pubblici.";452.0;635.0;620.0;430.0;366.0;624.0;693.0;398.0;847.0;725.0;465.0;808.0;745.0;;;4;4;26;F;italiana;xxx;Italiano;Laurea Magistrale;Si;xxx;477182
A;DG;75;gender27;g_masc;fem;logopedista;no;1193.0;620.0;555.0;615.0;816.0;13.0;no;no;"I ginecologi visitano le pazienti con le infermiere; tutti monitorano la crescita fetale.";1193.0;620.0;555.0;589.0;494.0;542.0;540.0;774.0;615.0;816.0;611.0;202.0;609.0;;;4;4;26;F;italiana;xxx;Italiano;Laurea Magistrale;Si;xxx;477182
A;DG;78;gender30;g_fem;masc;camionista;yes;588.0;1612.0;838.0;1062.0;920.0;15.0;si;si;"Le giardiniere curano il parco pubblico; tutte potano gli alberi malati alla fine dell' inverno.";588.0;1612.0;838.0;719.0;835.0;1877.0;1062.0;920.0;717.0;566.0;918.0;772.0;1117.0;686.0;831.0;4;4;26;F;italiana;xxx;Italiano;Laurea Magistrale;Si;xxx;477182
A;DG;79;gender31;g_masc;masc;fabbro;no;363.0;1069.0;900.0;737.0;850.0;14.0;no;no;"I fabbri saldano la nuova rete metallica; tutti eseguono un lavoro di squadra eccellente.";363.0;1069.0;900.0;721.0;595.0;731.0;780.0;737.0;850.0;531.0;690.0;901.0;643.0;608.0;;4;4;26;F;italiana;xxx;Italiano;Laurea Magistrale;Si;xxx;477182
A;DG;85;gender37;g_masc;masc;pompiere;no;512.0;711.0;679.0;737.0;533.0;14.0;si;si;"I becchini preparano la salma per la sepoltura; tutti aspettano in un rigoroso silenzio.";512.0;711.0;679.0;463.0;570.0;650.0;529.0;611.0;737.0;533.0;731.0;678.0;596.0;651.0;;4;4;26;F;italiana;xxx;Italiano;Laurea Magistrale;Si;xxx;477182
A;DG;88;gender40;g_fem;masc;meccanico;yes;612.0;2029.0;1594.0;786.0;1484.0;13.0;no;no;"Le meccaniche riparano il motore dell' automobile; tutte offrono un servizio eccellente al cliente.";612.0;2029.0;1594.0;578.0;589.0;936.0;629.0;786.0;1484.0;643.0;810.0;609.0;867.0;738.0;;4;4;26;F;italiana;xxx;Italiano;Laurea Magistrale;Si;xxx;477182
A;DG;91;gender43;g_masc;masc;marinaio;no;611.0;617.0;764.0;1047.0;1011.0;13.0;no;no;"I marinai ricevono le indicazioni dal porto; tutti manovrano con destrezza la nave.";611.0;617.0;764.0;710.0;715.0;663.0;764.0;1047.0;1011.0;1378.0;1102.0;528.0;786.0;;;4;4;26;F;italiana;xxx;Italiano;Laurea Magistrale;Si;xxx;477182
D;DG;105;gender57;g_masc;masc;ministro;no;727.0;4438.0;5721.0;1368.0;1382.0;15.0;si;si;"I ministri partecipano alla riunione di gabinetto; tutti attendevano impazientemente dei dettagli sul piano economico.";727.0;4438.0;5721.0;1947.0;843.0;854.0;1418.0;1368.0;1382.0;1475.0;804.0;901.0;945.0;2240.0;4260.0;5;5;25;M;Italiana;xxx;Italiano;Laurea Magistrale;Si;xxx;808967
D;DG;108;gender60;g_fem;masc;deputato;no;2274.0;1753.0;2715.0;1182.0;2723.0;14.0;no;no;"Le deputate presentano un nuovo decreto sui trasporti; tutte sperano in una approvazione unanime.";2274.0;1753.0;2715.0;2556.0;1013.0;920.0;914.0;1219.0;1182.0;2723.0;902.0;1756.0;919.0;1112.0;;5;5;25;M;Italiana;xxx;Italiano;Laurea Magistrale;Si;xxx;808967
D;DG;52;gender4;g_fem;fem;astrologo;yes;646.0;965.0;741.0;901.0;1462.0;14.0;si;si;"Le astrologhe analizzano le carte astrali; tutte formulano la loro predizione per l' anno futuro.";646.0;965.0;741.0;754.0;961.0;846.0;901.0;1462.0;783.0;1500.0;1026.0;843.0;1828.0;1120.0;797.0;5;5;25;M;Italiana;xxx;Italiano;Laurea Magistrale;Si;xxx;808967
D;DG;57;gender9;g_masc;fem;ostetrico;yes;592.0;1737.0;1213.0;1584.0;1679.0;13.0;no;no;"Gli ostetrici assistono molte partorienti in ospedale; tutti supportano le madri in travaglio.";592.0;1737.0;1213.0;1026.0;921.0;741.0;896.0;1584.0;1679.0;1281.0;963.0;741.0;865.0;;;5;5;25;M;Italiana;xxx;Italiano;Laurea Magistrale;Si;xxx;808967
D;DG;61;gender13;g_masc;fem;maestro;no;1549.0;4002.0;1275.0;6051.0;1668.0;14.0;si;si;"I maestri comprano dei quaderni a quadretti; tutti preparano il necessario per le lezioni.";1549.0;4002.0;1275.0;1059.0;1180.0;4856.0;2414.0;6051.0;1668.0;773.0;1018.0;1020.0;1392.0;5879.0;;5;5;25;M;Italiana;xxx;Italiano;Laurea Magistrale;Si;xxx;808967
D;DG;64;gender16;g_fem;fem;pedagogista;no;670.0;3314.0;1375.0;923.0;6474.0;13.0;no;no;"Le portinaie svolgono solertemente il loro lavoro; tutte puliscono con attenzione le scale.";670.0;3314.0;1375.0;1301.0;793.0;984.0;1031.0;923.0;6474.0;1242.0;1528.0;2843.0;1806.0;;;5;5;25;M;Italiana;xxx;Italiano;Laurea Magistrale;Si;xxx;808967
D;DG;68;gender20;g_fem;fem;dermatologo;yes;807.0;995.0;849.0;992.0;1082.0;13.0;si;si;"Le parrucchiere acconciano i lunghi capelli della cliente; tutte utilizzano costosi prodotti biologici.";807.0;995.0;849.0;738.0;1037.0;627.0;1720.0;1089.0;992.0;1082.0;851.0;960.0;1674.0;;;5;5;25;M;Italiana;xxx;Italiano;Laurea Magistrale;Si;xxx;808967
D;DG;81;gender33;g_masc;masc;falegname;yes;673.0;911.0;808.0;1402.0;1217.0;13.0;si;si;"Gli architetti progettano strutture innovative per le aziende; tutti rispettano le norme ambientali.";673.0;911.0;808.0;1259.0;2922.0;859.0;746.0;975.0;1402.0;1217.0;645.0;836.0;1326.0;;;5;5;25;M;Italiana;xxx;Italiano;Laurea Magistrale;Si;xxx;808967
D;DG;84;gender36;g_fem;masc;ingegnere;yes;562.0;2910.0;1607.0;835.0;1109.0;13.0;no;no;"Le ingegnere predispongono il progetto del tunnel; tutte considerano la resistenza del terreno.";562.0;2910.0;1607.0;1203.0;659.0;865.0;978.0;835.0;1109.0;648.0;1203.0;855.0;863.0;;;5;5;25;M;Italiana;xxx;Italiano;Laurea Magistrale;Si;xxx;808967
D;DG;89;gender41;g_masc;masc;minatore;yes;1145.0;1065.0;720.0;945.0;1082.0;14.0;no;no;"I minatori lavorano in condizioni pericolose; tutti chiedono migliori condizioni di lavoro nella miniera.";1145.0;1065.0;720.0;1038.0;1354.0;1716.0;945.0;1082.0;972.0;755.0;679.0;728.0;1432.0;908.0;;5;5;25;M;Italiana;xxx;Italiano;Laurea Magistrale;Si;xxx;808967
D;DG;96;gender48;g_fem;masc;macellaio;no;942.0;5232.0;1974.0;1722.0;4720.0;13.0;si;si;"Le macellaie preparano tagli d' agnello fresco; tutte espongono i nuovi prezzi in vetrina.";942.0;5232.0;1974.0;3708.0;1847.0;1761.0;2963.0;1722.0;4720.0;1477.0;3886.0;792.0;883.0;759.0;;5;5;25;M;Italiana;xxx;Italiano;Laurea Magistrale;Si;xxx;808967
A;DG;104;gender56;g_fem;masc;idraulico;no;516.0;877.0;1009.0;1062.0;1495.0;13.0;si;si;"Le idrauliche riparano la principale tubatura rotta; tutte ripristinano l' acqua corrente nell' intero edificio.";516.0;877.0;1009.0;685.0;930.0;2507.0;1389.0;1062.0;1495.0;777.0;721.0;1641.0;821.0;659.0;718.0;6;6;24;M;Italiana;xxx;Italiano;Laurea Triennale;No;xxx;744627
A;DG;49;gender1;g_masc;fem;infermiere;yes;559.0;953.0;1158.0;552.0;997.0;14.0;si;si;"Gli infermieri controllano i turni di guardia del giorno; tutti trovano degli errori madornali.";559.0;953.0;1158.0;911.0;917.0;782.0;1171.0;743.0;858.0;552.0;997.0;666.0;903.0;1687.0;;6;6;24;M;Italiana;xxx;Italiano;Laurea Triennale;No;xxx;744627
A;DG;54;gender6;g_fem;fem;bibliotecario;no;633.0;774.0;1332.0;872.0;2261.0;14.0;si;si;"Le bibliotecarie organizzano alfabeticamente i nuovi libri; tutte eseguono il lavoro in modo rigoroso.";633.0;774.0;1332.0;1682.0;814.0;772.0;535.0;872.0;2261.0;632.0;911.0;609.0;710.0;845.0;;6;6;24;M;Italiana;xxx;Italiano;Laurea Triennale;No;xxx;744627
